,author,published_at,updated_at,like_count,text
0,@jamesl.anderson1384,2023-09-06T01:38:05Z,2023-09-06T01:38:05Z,3,
1,@jamesl.anderson1384,2023-09-06T01:37:22Z,2023-09-06T01:37:45Z,1,
2,@intricatic,2023-08-30T22:22:53Z,2023-08-30T22:22:53Z,0,god best part movie warn u would tobacco use didnt warn nazi everywhere honestly cigarette much scary nazi
3,@JZL-Arkerivon,2023-08-27T18:14:36Z,2023-08-27T18:14:36Z,1,adventure live dont know theyre say movie suck third best franchise raider crusade special effect young self realistic ive ever see way bring u back original vibe open perfect story amaze also ive never watch movie theater get excite climax start laugh awesome original towards end spoiler mean many movie exist time travel awesome back future endgame mean fly world war nazi plan back time bc fly ancient roman warship actually start shoot implication alone world give movie
4,@karawestley641,2023-07-28T01:27:36Z,2023-07-28T01:27:36Z,1,saw film love alot good fourth one ❤
5,@SheldonAdama17,2023-07-15T04:35:49Z,2023-07-15T04:35:49Z,1,like part indy yell “ ’ lightsabering time ” open fire full phasers
6,@JZL-Arkerivon,2023-07-09T05:59:29Z,2023-07-09T05:59:29Z,0,come hollywood bowl watch man play ’ wait watch movie
7,@DrIdaho,2023-07-07T22:06:39Z,2023-07-07T22:06:39Z,0,love part indy leave family farm meet old man turn exile jedi master
8,@anasshahid224,2023-07-04T05:04:54Z,2023-07-04T05:04:54Z,2,indiana jones one favorite movie franchise harrison ford legend back 👏👏👏👏🤠
9,@michaelantalya,2023-07-03T19:14:23Z,2023-07-03T19:14:23Z,2,ill never forget father take brother movie indiana jones last crusade year late time take father grandchild movie indiana jones dial destiny movie good recommend memory revive aegean side türkiye love
10,@biguspenus1718,2023-07-03T18:16:39Z,2023-07-03T18:16:39Z,1,way pay see movie instead
11,@mccad8,2023-07-03T16:48:08Z,2023-07-03T16:48:08Z,1,🧐whats airplane look like split tailwings⁉
12,@lalodiaz9618,2023-07-02T06:02:37Z,2023-07-02T06:02:37Z,2,yo estoy muy emocionado por v indiana jones
13,@pastime316,2023-07-01T13:14:09Z,2023-07-01T13:14:09Z,1,iconic hat punch ❤👒
14,@ParanormalSupernatural,2023-06-18T08:42:32Z,2023-06-18T08:42:32Z,2,indiana jones dial destiny jürgen voller die
15,@dictorfeelgood,2023-06-15T20:14:38Z,2023-06-15T20:14:38Z,1,pure 💩💩💩
16,@pop-culturecinephile8144,2023-06-11T19:27:48Z,2023-06-11T19:27:48Z,0,critic say franchise run course course finale ’ wait hope cry
17,@piranasdelcaribe3555,2023-06-01T05:13:03Z,2023-06-01T05:13:03Z,0,meme still na
18,@maulcs,2023-05-28T06:51:26Z,2023-05-28T06:51:26Z,0,trashola
19,@im2102,2023-05-24T00:15:55Z,2023-05-24T00:15:55Z,0,dont de disney
