,author,published_at,updated_at,like_count,text
0,@HornFurrman,2023-12-03T23:30:52Z,2023-12-03T23:30:52Z,0,send woman moon
1,@HornFurrman,2023-12-03T23:29:26Z,2023-12-03T23:29:26Z,0,omg
2,@01fellowfriend,2023-12-03T13:24:05Z,2023-12-03T13:24:05Z,0,stupid
3,@Porpolhot,2023-12-03T12:01:55Z,2023-12-03T12:03:28Z,1,trailer 😎😎😎 movie🤡🤡🤡 also keaton carry whole movie 😎😎
4,@donna24523,2023-12-02T23:24:55Z,2023-12-02T23:24:55Z,2,ezra miller flash⚡️⚡️⚡️♥️♥️♥️
5,@PRO.FF.777,2023-12-02T16:39:57Z,2023-12-02T16:39:57Z,1,best move ❤
6,@Icey157,2023-12-01T19:05:27Z,2023-12-01T19:05:27Z,1,aint way fast cameraman 💀💀
7,@Talk_and_Reaction,2023-11-29T18:53:19Z,2023-11-29T18:53:19Z,1,saw good time half star
8,@HornFurrman,2023-11-29T13:46:08Z,2023-11-29T13:46:08Z,1,want god
9,@maxhobangcolomba6552,2023-11-29T02:56:20Z,2023-11-29T02:56:20Z,0,disappoint
10,@user-dy8hl5co5c,2023-11-27T20:05:00Z,2023-11-27T20:05:00Z,0,best move ever sow first time flash favorite character ever
11,@voi8169,2023-11-25T08:15:33Z,2023-11-25T08:15:33Z,0,idk know people hate movie
12,@toeygoodmusic1243,2023-11-24T18:37:01Z,2023-11-24T18:38:31Z,1,
13,@mehranislam1464,2023-11-23T17:32:36Z,2023-11-23T17:32:36Z,0,movie pointless watch theater frl like one homeboyz watch together friday notice majority theater walk movie lol 😆
14,@Spacemikee,2023-11-22T05:55:05Z,2023-11-22T05:55:05Z,1,omg run like unbelievable
15,@mishkamn,2023-11-21T00:14:56Z,2023-11-21T00:14:56Z,0,think really bad market come never hear
16,@Axinium.,2023-11-20T03:16:59Z,2023-11-20T03:16:59Z,0,love part actually show flash
17,@Axinium.,2023-11-20T03:16:17Z,2023-11-20T03:16:17Z,0,avenger endgame
18,@vevozo,2023-11-19T16:20:08Z,2023-11-19T16:20:08Z,0,watch batman otherwise bad movie ever waste time data batman scene cool however flash go pas story doesnt make sense flop👎👎
19,@Raider577,2023-11-19T14:31:50Z,2023-11-19T14:32:34Z,0,bad hear okay film great see michael keaton actor play dc superheroes past present
20,@user-xp6cq1kk1c,2023-11-15T16:29:32Z,2023-11-15T16:29:32Z,0,❤this good
21,@gusromanalucero8082,2023-11-14T20:05:00Z,2023-11-14T20:05:00Z,2,dull moment cool movie
22,@MuhammedAbdullah-wh9ts,2023-11-12T18:35:44Z,2023-11-12T18:35:44Z,0,superman supergirl xd
23,@HornFurrman,2023-11-12T16:08:02Z,2023-11-12T16:08:02Z,0,oh he ghost rider
24,@HornFurrman,2023-11-12T15:03:35Z,2023-11-12T15:03:35Z,0,yes egg
25,@HornFurrman,2023-11-12T14:59:15Z,2023-11-12T14:59:15Z,0,ban movie jail
26,@HornFurrman,2023-11-12T14:58:32Z,2023-11-12T14:58:32Z,0,think
27,@syarifahazeea8004,2023-11-12T02:58:30Z,2023-11-12T02:58:30Z,0,michael keaton natural become batman film interest
28,@JenG877,2023-11-12T01:40:17Z,2023-11-12T01:40:17Z,0,’ kind movie amaze
29,@landonjarvis7050,2023-11-09T23:07:56Z,2023-11-09T23:07:56Z,0,please tell im one think christian bale motorcycle
30,@lizaachoy3457,2023-11-09T05:13:39Z,2023-11-09T05:13:39Z,0,flash transformer rise beast aka
31,@baknights14,2023-11-08T17:45:07Z,2023-11-08T17:45:07Z,0,micheal keaton batman save grace movie
32,@user-ls2bn5pw5u,2023-11-07T07:23:51Z,2023-11-07T07:23:51Z,0,dc make cyborg ’ movie
33,@vvpChannel3112,2023-11-04T21:31:20Z,2023-11-04T21:31:20Z,2,movie really gooddont know fail box office
34,@batijose3288,2023-11-03T23:00:04Z,2023-11-03T23:00:04Z,0,como duele que fracazara
35,@RK19-89,2023-11-02T12:33:22Z,2023-11-02T12:33:22Z,2,one best ever make 💯💯❤️
36,@Abel-V,2023-10-30T06:23:35Z,2023-10-30T06:23:35Z,0,encounter shadow spoiler attempt prevent horrible present barry allen travel past save mother die father unjust incarceration accord bruce wayne barry fulcrum time past future alternate present hot mess alternate present barrys parent live happily alternate present barry allen focus scene bat cave barry allen become frustrate year old self lash criticize list negative quality see young barry allen opinion well do visualization encounter shadow barry allen see eye even vocalize disappointment exasperate like around something effect thus pas judgement young barry allen young barry allen receive end barry allen hostility respond word encouragement two solidify bond propel close goal importantly serve stabiize barry allen anger essentially spirit scene extend climax young barrys evolution far future barry put another way barry allen shadow bad form old wise persistent attempt save parent despite gain knowledge inevitable intersection thus fit proverbial definition insanity thing go expect different result demonstrate countless attempt young barry change past result insane future young barry see end alternate present young barry realize understand though horrible past change even horrify future young barry sacrifice prevent young barrys act sacrifice think successful integration say shadow barry allen grow person newly yet painfully gain understand mother word every probem solution time let go
37,@markstrong9146,2023-10-29T01:43:19Z,2023-10-29T01:43:19Z,0,flash still white
38,@silveriowest724,2023-10-28T17:28:00Z,2023-10-28T17:28:00Z,2,idc love movie much
39,@aperturefilm,2023-10-27T02:05:49Z,2023-10-27T02:09:55Z,0,dont like theyre turn marvel movie comedy nonsense humor etc great movie btw
40,@mulhollanddrive3313,2023-10-25T15:34:33Z,2023-10-25T15:34:33Z,2,michael keaton original batman ❤
41,@emiddlebrooks7183,2023-10-25T01:28:29Z,2023-10-25T01:28:29Z,1,michael keatonbest batman ever
42,@kevingoeminne5922,2023-10-24T22:33:42Z,2023-10-24T22:33:42Z,1,watch movie hear cost million make earn around mil bil make profit movie story story almost bad marvel day good ant man doctor stange multibull bull al multiverse time bull dont watch
43,@metal5481,2023-10-24T14:17:24Z,2023-10-24T14:17:24Z,3,impress insult flashpoint paradox story
44,@jamesthomas6476,2023-10-24T00:47:41Z,2023-10-24T00:47:41Z,1,movie make long even man steel come
45,@omarcarrillo6006,2023-10-23T18:39:39Z,2023-10-23T18:39:39Z,1,stupid mcu meatriders normies force much hate moviewhile already watch time
46,@pablopr1049,2023-10-22T15:34:26Z,2023-10-22T15:34:26Z,6,man call batman stupid
47,@guillaumegonzalez1159,2023-10-18T03:36:38Z,2023-10-18T03:36:38Z,0,un conseil ne regarder pa cette bouse vraiment
48,@jonathanroberts-bj7yl,2023-10-17T08:17:19Z,2023-10-17T08:17:19Z,1,shame film ’ well
49,@nhangnhung7219,2023-10-15T12:54:03Z,2023-10-15T12:55:03Z,0,mother give birth son cant bear watch baby fall scene 😢 movie great btw
50,@kevd2448,2023-10-15T09:02:38Z,2023-10-15T09:02:38Z,0,great movie
51,@kshitizdavid800,2023-10-14T18:09:16Z,2023-10-14T18:09:16Z,0,ron livingston play young version billy crudups henry allen movie
