,author,published_at,updated_at,like_count,text
0,@user-rx1ux7ch8o,2023-12-04T03:51:42Z,2023-12-04T03:51:42Z,0,real main character cat
1,@stevevadeboncoeur3903,2023-11-30T17:27:29Z,2023-11-30T17:27:29Z,5,blame marvel flop brie larson fan buy ticket call racist bigot
2,@atlas1914,2023-11-30T10:56:08Z,2023-11-30T10:56:08Z,3,go watch cat
3,@emmon5377,2023-11-30T00:21:36Z,2023-11-30T00:21:36Z,7,marvel big flop mcu history lose million seriously pile dung personality screen presence brie larson
4,@sompongsadangrit9783,2023-11-29T11:07:01Z,2023-11-29T11:07:01Z,1,อายุสามสิบห้าปีสุขสันต์วันเกิด
5,@sompongsadangrit9783,2023-11-29T03:54:06Z,2023-11-29T03:54:06Z,1,rt
6,@stevevadeboncoeur3903,2023-11-28T23:26:06Z,2023-11-28T23:26:06Z,5,marvel see huge box office drop massive cope mcu shill
7,@IlokanoWarrior,2023-11-28T23:03:32Z,2023-11-28T23:03:32Z,0,consider flop yet still make money ’ flop make money
8,@nemono-won7712,2023-11-27T13:46:31Z,2023-11-27T13:46:31Z,5,disney right one thing movie break record big loser disney writer defacated onto screen along classic like monkey mermaid mexican snow white
9,@emmon5377,2023-11-27T05:51:53Z,2023-11-27T05:51:53Z,6,marvel super flop fill politically charge panderverse cringe disney stun woman pander didnt buy movie ticket wish flop well show far disney fall
10,@josealmir4683,2023-11-27T01:41:56Z,2023-11-27T01:41:56Z,0,jogando meu dinheiro forum
11,@richardc9634,2023-11-26T20:53:27Z,2023-11-26T20:53:27Z,6,disney stockholder need demand management terminate approve project
12,@studole154,2023-11-26T20:03:52Z,2023-11-26T20:04:44Z,4,sooo would rather watch paint dry would moor entertain much good story line paint story
13,@stevevadeboncoeur3903,2023-11-26T03:24:44Z,2023-11-26T03:24:44Z,4,marvel reaction fraudulant shill response cringe
14,@friezchka,2023-11-25T15:29:47Z,2023-11-25T15:29:47Z,4,love part everyone say love part bot spam comment
15,@movietheatre715,2023-11-25T07:54:23Z,2023-11-25T07:54:23Z,10,trailer good full movie 🙂
16,@deathnsd6953,2023-11-24T23:25:00Z,2023-11-24T23:25:00Z,3,even ruin beastie boy best songsmfh 👎👎👎👎
17,@emmon5377,2023-11-24T03:39:29Z,2023-11-24T03:39:29Z,8,panderverse flop continue tank box office south park right
18,@FLOYDWEEYT,2023-11-23T13:29:58Z,2023-11-23T13:29:58Z,2,music great movie find soon come disney
19,@nelsonmelgar1050,2023-11-23T02:00:55Z,2023-11-23T02:00:55Z,6,disney literally destroy everything good
