,author,published_at,updated_at,like_count,text
0,@axeladrianarredondoinfante1104,2023-11-30T02:12:38Z,2023-11-30T02:12:38Z,1,flash bad perfecto either andy muschietti something different see comic thing like movie see michael keaton batman musical score sasha calle give good performance supergirl although little time thing didnt like story cgi cameo end jam gunn shazamlike humor trailer good first due music present special see hard time favorite trailer year though movie expect give
1,@gamefreak20100,2023-11-16T11:11:50Z,2023-11-16T11:11:50Z,3,trailer make believe would great movie smh guess wrong
2,@benjaminpenamartinez1194,2023-11-12T03:42:28Z,2023-11-12T03:42:28Z,3,anyone notice gorgeous supergirl wonder someone special date anyone real life maybe avoid moocher like ’ get movie christmas ’ schizophrenic hallucination meet famous people time ’ take seriously please thank sasha calle
3,@dannyking3178,2023-11-11T20:33:57Z,2023-11-11T20:33:57Z,5,trailer good actual movie wow
4,@najmiramadhan3768,2023-11-10T20:00:40Z,2023-11-10T20:00:40Z,4,flash
5,@IronAngel,2023-11-10T18:25:05Z,2023-11-10T18:25:05Z,11,underrate movie
6,@emanuelpimentel8079,2023-11-08T06:04:52Z,2023-11-08T06:04:52Z,17,trailer good entire movie
7,@giorgiosortino3595,2023-11-05T15:07:30Z,2023-11-05T15:07:30Z,6,excellent trailer
8,@wilfredbwalya6451,2023-11-01T10:13:28Z,2023-11-01T10:13:28Z,0,y yours🤔
9,@ahmedghallab4912,2023-10-27T10:38:02Z,2023-10-27T10:38:02Z,7,movie fail badly good superhero moviethere deny
10,@mulhollanddrive3313,2023-10-25T15:35:42Z,2023-10-25T15:35:42Z,0,michael keaton original batman ❤
11,@dinarabolatbek7442,2023-10-21T02:25:23Z,2023-10-21T02:25:23Z,3,мне понравился фильм💐💐💐
12,@TheOne-dn9mr,2023-10-20T16:03:32Z,2023-10-20T16:03:32Z,1,rip
13,@AcengSaefulmaarif-uh2ue,2023-10-19T23:18:00Z,2023-10-19T23:18:00Z,0,really good nice flash favorite like beautyfull power experience amaze great fight runz
14,@ljbutler12,2023-10-19T04:10:44Z,2023-10-19T04:10:44Z,3,idk movie get bad review
15,@basook6116,2023-10-14T08:40:15Z,2023-10-14T08:40:15Z,0,point make flash
16,@jimtaylor6930,2023-10-13T16:05:45Z,2023-10-13T16:05:45Z,1,movie suck green donkey dick
17,@richycazares2176,2023-10-10T20:15:08Z,2023-10-10T20:15:08Z,13,get do watch movie lot good would ’ expect bad wish would continue verse
18,@Oddswim,2023-10-07T18:25:50Z,2023-10-07T18:25:50Z,0,fao dc make michael keaton batman movie thank
19,@heirapparent4802,2023-10-04T21:40:57Z,2023-10-04T21:40:57Z,0,r u n
20,@user-mq9lp2zt2n,2023-10-02T14:14:03Z,2023-10-02T14:14:03Z,0,love nature hannah monds
21,@Hal9grand,2023-10-01T02:20:34Z,2023-10-01T02:20:34Z,0,miller freak catch kidnap kid w gun house tire inanity ’ support anyone live
22,@wooleyman8640,2023-09-28T01:15:32Z,2023-09-28T01:15:32Z,1,hey flash race sonic
23,@ryanstauffer119,2023-09-26T04:20:44Z,2023-09-26T04:20:44Z,2,man young barry say nobody die hit differently watch movie
24,@JoshuaFaries-xo9qv,2023-09-24T18:45:23Z,2023-09-24T18:45:23Z,2,epic garbage
25,@cyberdragon7587,2023-09-24T07:34:38Z,2023-09-24T07:34:38Z,1,im leave chicago song keep wait continue late producer song would appear towards end otherwise ezra great good job bro
26,@superygly,2023-09-23T21:36:44Z,2023-09-23T21:36:44Z,0,
27,@rajanirajput3784,2023-09-23T14:49:20Z,2023-09-23T14:49:20Z,1,interest movie😂❤❤p🎉
28,@bruce92106,2023-09-23T01:21:04Z,2023-09-23T01:21:04Z,2,sorry cant ezra play roll 🤢
29,@Scech123Boss,2023-09-22T22:07:46Z,2023-09-22T22:07:46Z,0,nary never lose parent time
30,@rubenvalente,2023-09-22T21:11:32Z,2023-09-24T12:47:01Z,3,saw movie dont really get critic come main actor actor great love role movie good enough make much money
31,@robertonieves7777,2023-09-21T01:58:06Z,2023-09-21T01:58:06Z,2,complete total garbage finally gon na keep comedy comedy movie
32,@1Manda1,2023-09-20T16:46:23Z,2023-09-20T16:46:23Z,1,million viewer go see
33,@zv3456u-,2023-09-19T16:23:25Z,2023-09-19T16:23:25Z,1,tim burton anger warner brother use batman michael keaton cameo superman niclas cage ia flash movie
34,@gavinmonahan2756,2023-09-19T11:22:22Z,2023-09-19T11:22:22Z,16,movie teach never trust critic
35,@sultansultan7812,2023-09-18T08:41:51Z,2023-09-18T08:41:51Z,0,wish could go back time convimce wb change plot aquaman v wonderwoman supergirl instead skinny superman keaton instead tomas wayne batman
36,@blackhood7840,2023-09-17T03:13:25Z,2023-09-17T03:13:25Z,0,ezra miller u fail movie
37,@Abdullah-lr2qd,2023-09-16T17:31:12Z,2023-09-16T17:31:12Z,1,goood perfect music nd trailer flash movie flash movie cast actor actress full mark perfect performance best movie flash everythings perfect flash movie
38,@ledgaming6489,2023-09-16T15:57:53Z,2023-09-16T15:57:53Z,1,cringe
39,@shlock1459,2023-09-16T15:40:09Z,2023-09-16T15:40:09Z,0,’ watch know actor do
40,@azeefox,2023-09-15T18:59:46Z,2023-09-15T19:06:43Z,0,spoiler alert reverse flash travel time make clone baby switch place baby barryhe dont know put baby barry kill infantagain sorry spoiler month😢
41,@desdemonathomas511,2023-09-15T12:49:36Z,2023-09-15T12:49:36Z,1,best superhero movie ever
42,@SIKE01,2023-09-14T16:18:18Z,2023-09-14T16:18:18Z,1,rick cosnett would perfect barry allen
43,@user-if2kl6wx4l,2023-09-13T17:18:13Z,2023-09-13T17:18:13Z,0,cool 😎 definitely see
44,@TSF15152,2023-09-13T03:01:13Z,2023-09-13T03:01:13Z,2,’ use music like actual movie would make lot good
45,@kinosis7979,2023-09-13T02:33:36Z,2023-09-13T02:33:36Z,2,watch movie one bad film ive ever see especially first hour batman robin good im joke
46,@cafinario,2023-09-10T02:15:53Z,2023-09-10T02:15:53Z,2,descent director able honor wonderful character even sonic hedgehog creative calamity
