,author,published_at,updated_at,like_count,text
0,@joshuajames8876,2023-12-04T14:00:42Z,2023-12-04T14:00:42Z,0,iowest gross marvel movie time look like
1,@Drill8923,2023-12-04T11:58:01Z,2023-12-04T11:58:01Z,0,mid film
2,@genedawkins,2023-12-04T07:22:42Z,2023-12-04T07:22:42Z,0,woman empowerment film tv show dont work obvious agenda say there anything wrong woman cast cast woman film prove sort progress doesnt need prove post movement simply exploit movement go sell movie ticket especially mcu film create expectation youre go get ton cameo notable male mcu hero member avenger trailer advertisement film already spoil audience fact wasnt gon na notable cameo see film couldve still push agenda woman lead whole cast primarily woman make mistake
3,@doggystyle7972,2023-12-04T07:18:41Z,2023-12-04T07:18:41Z,0,use marvel endgame promote desperation indeed
4,@onewayofliving,2023-12-04T07:05:27Z,2023-12-04T07:05:27Z,0,dance scene preview black girl magic
5,@strangelee4400,2023-12-04T06:41:41Z,2023-12-04T06:41:41Z,0,realisedthe film enjoy whole series movie iron man
6,@theflowpowa42oshow,2023-12-04T06:05:18Z,2023-12-04T06:05:18Z,0,congratulation marvel end box office run lowestgrossing mcu movie history best monito ya hear
7,@obitouchiha5305,2023-12-04T05:26:32Z,2023-12-04T05:26:32Z,1,’ watch godzilla…
8,@keithhughes3419,2023-12-04T03:57:06Z,2023-12-04T03:57:06Z,0,mcu dead rip
9,@user-rx1ux7ch8o,2023-12-04T03:50:46Z,2023-12-04T03:50:46Z,0,real main character cat
10,@emmon5377,2023-12-04T02:14:11Z,2023-12-04T02:14:11Z,1,brie larson lay huge flop box office lose million marvel continue tank seriously block wood personality brie larson
11,@southtexasdeath,2023-12-04T02:01:08Z,2023-12-04T02:01:08Z,1,im go honest im interest female homosexual lead anymore
12,@emmon5377,2023-12-04T01:29:19Z,2023-12-04T01:29:19Z,0,bad perform mcu film ever
13,@ezekelwilson5084,2023-12-04T00:08:18Z,2023-12-04T00:08:18Z,0,comment hype movie trailer 😂
14,@mohak3753,2023-12-03T23:56:44Z,2023-12-03T23:56:44Z,0,depuis aujourdhui jaime dc comic car eux au moins ne mont pa pourri min de vie
15,@emmon5377,2023-12-03T23:50:22Z,2023-12-03T23:50:22Z,2,cringe panderverse movie flop huge disney need call wakanda need black girl magic save flop🤭
16,@RealityCheck6969,2023-12-03T23:33:59Z,2023-12-03T23:44:39Z,1,guy know joke black chick white chick brown chick walk bar…
17,@albreteinstong5,2023-12-03T23:19:44Z,2023-12-03T23:19:44Z,0,begin literally stony gif post tumblr
18,@spiderpig5842,2023-12-03T22:07:13Z,2023-12-03T22:07:13Z,2,flop hard rip msheu
19,@emmon5377,2023-12-03T21:36:22Z,2023-12-03T21:36:22Z,1,monumental failure big flop mcu history marvel continue tank box office derange brie fan falsely accuse marvel fan cause flop
20,@IlokanoWarrior,2023-12-03T21:04:39Z,2023-12-03T21:04:39Z,0,marvel late million worldwide mcu still game mcu best brand comic book marvelheads assemble
21,@rahilsharif5831,2023-12-03T19:30:10Z,2023-12-03T19:30:10Z,1,marvel phony
22,@ramibouchlama6933,2023-12-03T19:08:02Z,2023-12-03T19:08:02Z,1,miss ironman
23,@emmon5377,2023-12-03T17:00:37Z,2023-12-03T17:00:37Z,3,marvel tremendous flop need million break even disney stun marvel continue tank box office drop number despite open week ago marvel take friday put weak film track first mcu film unable reach million domestic
24,@ABHAdams,2023-12-03T15:42:50Z,2023-12-03T15:42:50Z,2,nahhh
25,@1goldinga,2023-12-03T10:59:59Z,2023-12-03T10:59:59Z,1,giant mother goddess movie powerful woman probably fill checkerboard pyramid leave eye horn hoof otherhollywood style symbolism
26,@arnislumpia3766,2023-12-03T09:36:44Z,2023-12-03T09:36:44Z,0,batman v superman super bore marvel marvelous mahvel baby let go crayzay xmen
27,@yogurt_junior,2023-12-03T07:25:11Z,2023-12-03T07:25:11Z,0,shut hatebots marvel tot amazeballs fun see
28,@hendrawijaya4902,2023-12-03T07:09:22Z,2023-12-03T07:09:22Z,3,black girl magic
29,@sensibility3009,2023-12-03T06:21:53Z,2023-12-03T06:21:53Z,0,movie woman cast sorry nick
30,@emmon5377,2023-12-03T01:15:20Z,2023-12-03T01:15:20Z,3,cringe fill panderverse movie make girl disney stun double girl power lose big marvel lose million marvel big flop mcu history track big flop cinema history
31,@ciceroknox1864,2023-12-03T01:12:05Z,2023-12-03T01:12:05Z,1,saw movie take girl vetter anticipate entertain part could describe one word id say fun
32,@JDotS_,2023-12-02T23:42:28Z,2023-12-02T23:42:28Z,1,there currently thousand dislike
33,@emmon5377,2023-12-02T23:32:42Z,2023-12-02T23:32:42Z,1,marvel movie corny asf marvel prove disney care push girl power marvel cringe fill panderverse feature three strong wahmen character lame comic book nobody want
34,@SirgStudios,2023-12-02T22:36:30Z,2023-12-02T22:36:30Z,0,wow trailer literally everything happen end movie 💀
35,@SS-nm3uy,2023-12-02T20:22:11Z,2023-12-02T20:22:11Z,2,like come woman scream “ run world girl ” 💀💀😂😂
36,@user-mr6mh9wl5w,2023-12-02T18:56:32Z,2023-12-02T18:56:32Z,2,ever tell definition insanity
37,@tarang7248,2023-12-02T17:09:17Z,2023-12-02T17:09:17Z,3,marvel goal incite racism hatred completely succeed
38,@Swordsman-gr9qc,2023-12-02T15:35:07Z,2023-12-02T15:35:07Z,0,fun movie release bad time
39,@zacknobody9525,2023-12-02T15:02:52Z,2023-12-02T15:02:52Z,0,black magic xd
40,@kapikilachiti6743,2023-12-02T14:10:38Z,2023-12-02T14:10:38Z,1,comment lose interest search movie endgame marvel lose direction long term plan merge good story line
41,@AstroB.R.,2023-12-02T13:04:13Z,2023-12-02T13:04:13Z,0,iron man deadwhy let justin bieber ed sheeran direct cut marvel movie
42,@ogiengniewu2004,2023-12-02T13:01:07Z,2023-12-02T13:01:07Z,3,bad movie ever
43,@boodyjacob9322,2023-12-02T08:45:35Z,2023-12-02T08:45:35Z,2,tony universe sacrifice life
44,@emmon5377,2023-12-02T05:37:07Z,2023-12-02T05:37:07Z,3,terrible feminist cringe movie big flop mcu history brick charm screen presence brie larson
45,@Ferrarigaming2.0,2023-12-02T03:45:33Z,2023-12-02T03:45:33Z,1,robert downey jr ko wapas lao nhi sari picture flop karwa dunga samjha
46,@emmon5377,2023-12-02T02:42:59Z,2023-12-02T02:42:59Z,2,disney double girl power lose big attempt sell comic book movie girl fail sell ticket need estimate million break even marvel track big flop cinema history
47,@oa4485,2023-12-02T02:16:05Z,2023-12-02T02:16:05Z,0,pay full theater another movie people hope go movie
48,@emmon5377,2023-12-02T01:57:16Z,2023-12-02T01:57:16Z,2,cringe fill movie even steal plot spaceballs song dance number say minute pure hell marvel colossal flop track first mcu film unable reach million domestic
49,@mmazurr,2023-12-02T00:48:57Z,2023-12-02T00:48:57Z,1,really like movie retrospect trailer specific terrible really lead expect different plot feel movie actually
50,@AFullNelson,2023-12-01T23:54:42Z,2023-12-01T23:54:42Z,1,hear change “ pad ” one scene
51,@emmon5377,2023-12-01T23:14:01Z,2023-12-01T23:14:01Z,2,huge flop hardly sell ticket marvel big flop mcu history lose million great idea market comic book movie girl
52,@IlokanoWarrior,2023-12-01T22:57:51Z,2023-12-01T22:57:51Z,0,’ wait weekend want watch marvel
53,@emmon5377,2023-12-01T21:47:32Z,2023-12-01T21:47:32Z,2,big flop mcu history marvel continue tank box office drop number disney full panic mode future mcu look well
54,@Swordsman-gr9qc,2023-12-01T20:17:21Z,2023-12-01T20:17:21Z,0,story grind break fun play like tv episode single comic book issue mid credit scene show ’ come next ’ go xciting … get ready capcom presents……
55,@guasaharrymamanihyhg-mm6rv,2023-12-01T18:32:23Z,2023-12-01T18:32:23Z,2,marvel termino en endgame esta e la prueba
56,@jmg4388,2023-12-01T17:04:05Z,2023-12-01T17:04:05Z,1,feel like marvel keep make movie cringe actress say there different reality bleed wow never hear line
57,@emmon5377,2023-12-01T16:40:44Z,2023-12-01T16:40:44Z,3,failure marvel continue stun disney female pander interest movie marvel cringe fill panderverse even steal plot spaceballs need estimate million break even marvel may big flop cinema history
58,@rsen1989,2023-12-01T15:09:52Z,2023-12-01T15:09:52Z,3,go see movie think waste time 🤔😒🤬
59,@theAdmurl498,2023-12-01T14:07:46Z,2023-12-01T14:07:46Z,3,yaygirl power waita go marvelya screw whole franchise cuz hairy legged fems
60,@deebee4575,2023-12-01T11:22:40Z,2023-12-01T11:22:40Z,2,bob iger blame horrid quality marvel covid
61,@makepistat,2023-12-01T08:59:16Z,2023-12-01T08:59:16Z,1,whats
62,@user-qb4le1jl6y,2023-12-01T08:30:24Z,2023-12-01T08:30:24Z,0,l
63,@muhammadowais8494,2023-12-01T07:26:40Z,2023-12-01T07:26:40Z,2,see movie cenima
64,@moonwalker4eva712,2023-12-01T03:27:16Z,2023-12-01T03:27:16Z,4,point watch crap anymore🤦🏻‍♂️
65,@scottlewis9127,2023-12-01T03:08:15Z,2023-12-01T03:08:15Z,2,movie look like suck whats go
66,@emmon5377,2023-12-01T02:11:06Z,2023-12-01T02:11:06Z,2,seriously pile dirt personality screen presence brie larson marvel tremendous flop lose million continue tank box office
67,@IlokanoWarrior,2023-12-01T01:38:49Z,2023-12-01T01:38:49Z,0,marvel net cost actually million worldwide make million
68,@emmon5377,2023-12-01T00:52:44Z,2023-12-01T00:52:44Z,2,brie larsons marvel big flop mcu history lose million marvel cringe fill movie even steal plot spaceballs funny thing woman disney pander didnt buy ticket marvel
69,@Swordsman-gr9qc,2023-11-30T23:47:43Z,2023-11-30T23:47:43Z,0,dont listen negativity hate bot best movie theater fun end credit cool especially watch disney plus show even fox studio also marvel stuff
70,@user-cq5fj6fr1u,2023-11-30T23:37:55Z,2023-11-30T23:37:55Z,2,corny
71,@emmon5377,2023-11-30T22:47:11Z,2023-11-30T22:47:11Z,2,captain karen show world shes incapable lead mcu give marvel big flop ever marvel continue tank box office disney brie larson angrily lash marvel fan blame failure bad product
72,@RodolfoUBRS,2023-11-30T22:42:31Z,2023-11-30T22:42:31Z,1,year try like dc cant
73,@emmon5377,2023-11-30T19:12:12Z,2023-11-30T19:12:12Z,2,marvel continue tank box office sell ticket tuesday brie larson give mcu big flop ever marvel continue break record bad way marvel track mcu film unable reach million domestic
74,@tatterdemalion898,2023-11-30T18:02:53Z,2023-11-30T18:02:53Z,1,trailer pretty much give away whole plot thank didnt plan watch one anyway xd
75,@Mhd-mu4xe,2023-11-30T18:01:12Z,2023-11-30T18:01:12Z,2,womenheroyour kid mei aint watch crap
76,@saintseiya7020,2023-11-30T16:48:25Z,2023-11-30T16:48:25Z,1,acabo de mirar con show tube dislike este video tiene dislike ¡tiene de aprobación😂
77,@Jeremiahking101,2023-11-30T16:17:23Z,2023-11-30T16:17:23Z,4,one ask lol
78,@rodrigoulala,2023-11-30T13:19:31Z,2023-11-30T13:19:31Z,4,💩💩💩💩💩💩
79,@theoutdoorguy8740,2023-11-30T11:03:50Z,2023-11-30T11:03:50Z,2,kevin feige state want female superheroes marvel men downward fall marvel movie female dont problem female superhero problem force social agenda
80,@inspirationalaries,2023-11-30T10:53:02Z,2023-11-30T10:53:02Z,2,jeez marvel give already brave go different direction dramatic music check life end cataclysmic event necessitate hero check equivalent favourite musician continue release album song one love previously get point pastiche
81,@ruserious5598,2023-11-30T09:34:48Z,2023-11-30T09:34:48Z,3,theater lmao think show hard pas ill watch godzilla
