,author,published_at,updated_at,like_count,text
0,Paan Skytears,2023-11-13T17:30:17Z,2023-11-13T17:30:17Z,0,For the first time i will boycott MARVEL because they keep support genocide Palestinian..
1,Steven1776,2023-11-13T17:17:43Z,2023-11-13T17:17:43Z,0,Terrible movie should have known by just the cover cringe
2,misanthropic generation,2023-11-13T17:16:21Z,2023-11-13T17:16:21Z,0,This movie is was so boring. I could honestly say the best part was the end credit scene.
3,Ayyash Mohammed,2023-11-13T17:12:48Z,2023-11-13T17:12:48Z,0,Men casting are better
4,no name,2023-11-13T17:05:25Z,2023-11-13T17:05:25Z,0,"I love the part where captain Marvel says ""It's marvin' time!"" and beats up the badguy. Except the badguy is a woman of colour so it's kinda racist."
5,Emmon,2023-11-13T16:52:49Z,2023-11-13T16:52:49Z,2,The Marvels has the lowest opening for a MCU movie ever LOLOLOL🤣😆😅😅🤣
6,Emmon,2023-11-13T16:51:48Z,2023-11-13T16:51:48Z,1,A tree has more personality than Brie Larson.
7,Zahra Chandra,2023-11-13T16:49:57Z,2023-11-13T16:49:57Z,0,"Everybody keeps saying that everybody is saying that nobody liked the trailer but I mean idc if I don’t watch the trailer I need to watch this movie because:
1. Big fan of marvel
2. GIRL POWERRRRR!!!!
🎀"
8,Emmon,2023-11-13T16:47:44Z,2023-11-13T16:47:44Z,1,Flopped so bad RLMAO 🤣🤣🤣🤣🤣
9,ChefLive,2023-11-13T16:40:10Z,2023-11-13T16:40:10Z,2,"Dude, i so wanted to go see this movie.... Then i saw the trailer.. no-go"
10,XarlesM42,2023-11-13T16:27:57Z,2023-11-13T16:27:57Z,3,Dislike: 341k
11,DIAZ NUTS,2023-11-13T16:22:35Z,2023-11-13T16:22:35Z,0,"yeah yeah, you go 'gurrl' 3.5 on Metacritic😁"
12,iera,2023-11-13T16:07:51Z,2023-11-13T16:07:51Z,1,The people in these comments are lost and its a clear indication cinema will not recover in the next 25 years
13,JacksonJ,2023-11-13T16:06:41Z,2023-11-13T16:06:41Z,1,"The only thing worth watching of marvel is loki the tv show, great writing and effects"
14,iera,2023-11-13T16:05:27Z,2023-11-13T16:05:27Z,0,Why are you like this? Marvel
15,Drednaut505,2023-11-13T16:03:39Z,2023-11-13T16:03:39Z,4,The Marvels - The Biggest Flop In MCU History
16,Xavi,2023-11-13T15:58:41Z,2023-11-13T15:58:41Z,0,"Brie is #1 at the box office!! Do you know how badly chudrodic and critical dink WISH they could be #1 at the box office. 
Its their dream! 
Brie Larson is living it!
Brie Larson is living their dream  !  💪🔥"
17,Leonardo Ramalho Machado,2023-11-13T15:44:15Z,2023-11-13T15:44:15Z,2,Flop
18,Eli,2023-11-13T15:39:17Z,2023-11-13T15:39:17Z,0,"Brie is #1 at the box office!! Do you know how badly chudrodic and critical dink WISH they could be #1 at the box office. 
its their dream! 
Brie Larson is living it!
Brie Larson is living their dream  !,./"
19,Eli,2023-11-13T15:39:05Z,2023-11-13T15:39:05Z,0,"Brie is #1 at the box office!! Do you know how badly chudrodic and critical dink WISH they could be #1 at the box office. 
its their dream! 
Brie Larson is living it!
Brie Larson is living their dream  !"
20,Eli San,2023-11-13T15:13:59Z,2023-11-13T15:13:59Z,0,"Brie is #1 at the box office!! Do you know how badly chudrodic and critical dink WISH they could be #1 at the box office. 
its their dream! 
Brie Larson is living it!
Brie Larson is living their dream  !"
21,Eli San,2023-11-13T15:11:34Z,2023-11-13T15:11:34Z,1,"With all the free publicity Brie Larson gets, its no wonder she is one of the most highest paid actors,. 🔥
,./."
22,Eli San,2023-11-13T15:11:17Z,2023-11-13T15:11:17Z,1,"Brie Larson has the 400 Z, Fast X, Lessons in Chemistry, The Marvels. She is dominating the zeitgeist . living rent free
,./"
