,Unnamed: 0,author,published_at,updated_at,like_count,text,results
0,0,Paan Skytears,2023-11-13T17:30:17Z,2023-11-13T17:30:17Z,0,For the first time i will boycott MARVEL because they keep support genocide Palestinian..,"[{'label': 'NEGATIVE', 'score': 0.9949878454208374}]"
1,1,Steven1776,2023-11-13T17:17:43Z,2023-11-13T17:17:43Z,0,Terrible movie should have known by just the cover cringe,"[{'label': 'NEGATIVE', 'score': 0.9996936321258545}]"
2,2,misanthropic generation,2023-11-13T17:16:21Z,2023-11-13T17:16:21Z,0,This movie is was so boring. I could honestly say the best part was the end credit scene.,"[{'label': 'NEGATIVE', 'score': 0.999649167060852}]"
3,3,Ayyash Mohammed,2023-11-13T17:12:48Z,2023-11-13T17:12:48Z,0,Men casting are better,"[{'label': 'NEGATIVE', 'score': 0.881743311882019}]"
4,4,no name,2023-11-13T17:05:25Z,2023-11-13T17:05:25Z,0,"I love the part where captain Marvel says ""It's marvin' time!"" and beats up the badguy. Except the badguy is a woman of colour so it's kinda racist.","[{'label': 'NEGATIVE', 'score': 0.7202032804489136}]"
5,5,Emmon,2023-11-13T16:52:49Z,2023-11-13T16:52:49Z,2,The Marvels has the lowest opening for a MCU movie ever LOLOLOL🤣😆😅😅🤣,"[{'label': 'NEGATIVE', 'score': 0.9996300935745239}]"
6,6,Emmon,2023-11-13T16:51:48Z,2023-11-13T16:51:48Z,1,A tree has more personality than Brie Larson.,"[{'label': 'POSITIVE', 'score': 0.9970459342002869}]"
7,7,Zahra Chandra,2023-11-13T16:49:57Z,2023-11-13T16:49:57Z,0,"Everybody keeps saying that everybody is saying that nobody liked the trailer but I mean idc if I don’t watch the trailer I need to watch this movie because:
1. Big fan of marvel
2. GIRL POWERRRRR!!!!
🎀","[{'label': 'NEGATIVE', 'score': 0.9436797499656677}]"
8,8,Emmon,2023-11-13T16:47:44Z,2023-11-13T16:47:44Z,1,Flopped so bad RLMAO 🤣🤣🤣🤣🤣,"[{'label': 'NEGATIVE', 'score': 0.9997981190681458}]"
9,9,ChefLive,2023-11-13T16:40:10Z,2023-11-13T16:40:10Z,2,"Dude, i so wanted to go see this movie.... Then i saw the trailer.. no-go","[{'label': 'NEGATIVE', 'score': 0.9681537747383118}]"
